og_id,consensus_product,total_member_count,total_organism_count,proc_strains,proc_members,proc_hypo_members,frac_hypo
cyanorak:CK_00000331,photosystem I assembly protein Ycf37,21,21,17,17,0,0.0
cyanorak:CK_00000330,50S ribosomal protein L20,21,21,17,17,0,0.0
cyanorak:CK_00000329,50S ribosomal protein L35,21,21,17,17,0,0.0
cyanorak:CK_00000328,sporulation protein SpoIID,21,21,17,17,0,0.0
cyanorak:CK_00000327,monoglycosyldiacylglycerol (MGlcDG) synthase,21,21,17,17,0,0.0
cyanorak:CK_00000326,"DNA polymerase III, gamma and tau subunits",21,21,17,17,0,0.0
cyanorak:CK_00000325,"ATP-dependent Clp protease ATP-binding subunit, ClpX",21,21,17,17,0,0.0
cyanorak:CK_00008038,"ATP-dependent Clp protease, protease subunit",21,21,17,17,0,0.0
cyanorak:CK_00055891,trigger factor,21,21,17,17,0,0.0
cyanorak:CK_00000324,aspartate-semialdehyde dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00000323,dihydrodipicolinate synthase,21,21,17,17,0,0.0
cyanorak:CK_00000322,ribonuclease J,21,21,17,17,0,0.0
cyanorak:CK_00000319,tRNA(Ile)-lysidine synthetase,21,21,17,17,0,0.0
cyanorak:CK_00000318,uncharacterized conserved TIM barrel-containing protein (Ycf23),21,21,17,17,0,0.0
cyanorak:CK_00000317,"excinuclease UvrABC complex, helicase subunit",21,21,17,17,0,0.0
cyanorak:CK_00042375,"aspartate kinase, monofunctional class",21,21,17,17,0,0.0
cyanorak:CK_00000321,"DNA polymerase III, delta subunit",21,21,17,17,0,0.0
cyanorak:CK_00000320,precorrin-8X methylmutase,21,21,17,17,0,0.0
cyanorak:CK_00000315,DNA mismatch repair protein MutS,21,21,17,17,0,0.0
cyanorak:CK_00001549,photosystem II protein PsbZ (Ycf9),21,21,17,17,0,0.0
cyanorak:CK_00000314,"6,7-dimethyl-8-ribityllumazine synthase",21,21,17,17,0,0.0
cyanorak:CK_00000316,acetyltransferase family protein,21,21,17,17,0,0.0
cyanorak:CK_00000120,preprotein translocase SecA subunit,22,21,17,18,0,0.0
cyanorak:CK_00000313,serine O-acetyltransferase,21,21,17,17,0,0.0
cyanorak:CK_00000312,"transcriptional regulator, GntR family",21,21,17,17,0,0.0
cyanorak:CK_00000311,translation initiation factor IF-3,21,21,17,17,0,0.0
cyanorak:CK_00000310,tRNA delta-2-isopentenylpyrophosphate (IPP) adenosine transferase,21,21,17,17,0,0.0
cyanorak:CK_00000309,"DNA gyrase, B subunit",21,21,17,17,0,0.0
cyanorak:CK_00000307,magnesium transporter,21,21,17,17,0,0.0
cyanorak:CK_00000001,"RNA polymerase sigma factor, type II",26,21,17,20,0,0.0
cyanorak:CK_00000025,alpha/beta hydrolase fold family protein,21,21,17,17,0,0.0
cyanorak:CK_00000305,fructokinase,21,21,17,17,0,0.0
cyanorak:CK_00000303,adenosylhomocysteinase,21,21,17,17,0,0.0
cyanorak:CK_00000302,dedA family protein,21,21,17,17,0,0.0
cyanorak:CK_00000301,single-stranded DNA-binding protein,21,21,17,17,0,0.0
cyanorak:CK_00000300,rod shape-determining protein MreB,23,21,17,19,0,0.0
cyanorak:CK_00000299,rod shape-determining protein MreC,21,21,17,17,0,0.0
cyanorak:CK_00049952,putative membrane protein,21,21,17,17,0,0.0
cyanorak:CK_00008019,"NblS-interacting two-component response regulator, OmpR family",21,21,17,17,0,0.0
cyanorak:CK_00000297,lysine--tRNA ligase,21,21,17,17,0,0.0
cyanorak:CK_00000295,ssrA-binding protein,21,21,17,17,0,0.0
cyanorak:CK_00000294,holliday junction ATP-dependent DNA helicase RuvB,21,21,17,17,0,0.0
cyanorak:CK_00000293,TPR repeat family protein,21,21,17,17,0,0.0
cyanorak:CK_00000292,N-acyl-L-amino acid amidohydrolase,21,21,17,17,0,0.0
cyanorak:CK_00000119,thiamine biosynthesis protein,21,21,17,17,0,0.0
cyanorak:CK_00000291,transketolase,21,21,17,17,0,0.0
cyanorak:CK_00000066,beta-ketoacyl-(acyl-carrier-protein) synthase II (KASII),21,21,17,17,0,0.0
cyanorak:CK_00000290,acyl-carrier protein,21,21,17,17,0,0.0
cyanorak:CK_00000289,photosystem I iron-sulfur center subunit VII PsaC,21,21,17,17,0,0.0
cyanorak:CK_00000288,glutamine---fructose-6-phosphate transaminase (isomerizing),21,21,17,17,0,0.0
cyanorak:CK_00000287,16S rRNA processing protein RimM,21,21,17,17,0,0.0
cyanorak:CK_00000286,NADH dehydrogenase I subunit NdhS,21,21,17,17,0,0.0
cyanorak:CK_00000285,ribonuclease III,21,21,17,17,0,0.0
cyanorak:CK_00000118,glycogen phosphorylase,21,21,17,17,0,0.0
cyanorak:CK_00000283,"Na+/H+ antiporter, CPA2 family",21,21,17,17,0,0.0
cyanorak:CK_00008106,alpha/beta hydrolase fold family protein,21,21,17,17,0,0.0
cyanorak:CK_00000282,aldose 1-epimerase family protein,23,21,17,19,0,0.0
cyanorak:CK_00000281,uncharacterized sugar and nucleotide-binding domains containing protein,21,21,17,17,0,0.0
cyanorak:CK_00000280,isocitrate dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00000279,heme oxygenase,21,21,17,17,0,0.0
cyanorak:CK_00001395,"15,16 dihydrobiliverdin:ferredoxin oxidoreductase",21,21,17,17,0,0.0
cyanorak:CK_00001394,phycoerythrobilin:ferredoxin oxidoreductase,21,21,17,17,0,0.0
cyanorak:CK_00000565,low molecular weight protein-tyrosine-phosphatase,21,21,17,17,0,0.0
cyanorak:CK_00000564,bifunctional pantoate ligase/cytidylate kinase,21,21,17,17,0,0.0
cyanorak:CK_00000563,phosphoribosylformylglycinamidine cyclo-ligase,21,21,17,17,0,0.0
cyanorak:CK_00000562,conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00000560,ribonuclease D,21,21,17,17,0,0.0
cyanorak:CK_00000559,cofactor assembly of complex C subunit CBB1,21,21,17,17,0,0.0
cyanorak:CK_00000558,coproporphyrinogen-III oxidase,21,21,17,17,0,0.0
cyanorak:CK_00000557,nucleotide-binding protein,21,21,17,17,0,0.0
cyanorak:CK_00000556,rod shape determining protein,21,21,17,17,0,0.0
cyanorak:CK_00000555,putative two component signal transduction histidine kinase,21,21,17,17,0,0.0
cyanorak:CK_00000554,photosystem I reaction center subunit II,21,21,17,17,0,0.0
cyanorak:CK_00000553,anthranilate synthase component I,21,21,17,17,0,0.0
cyanorak:CK_00000552,gamma-glutamate-cysteine ligase,21,21,17,17,0,0.0
cyanorak:CK_00000551,phosphoenol pyruvate carboxylase,21,21,17,17,0,0.0
cyanorak:CK_00000549,DNA replication and repair protein recF,21,21,17,17,0,0.0
cyanorak:CK_00000548,S-adenosylmethionine decarboxylase,21,21,17,17,0,0.0
cyanorak:CK_00000547,"possible pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase",21,21,17,17,0,0.0
cyanorak:CK_00000546,cob(I)alamin adenosyltransferase family protein,21,21,17,17,0,0.0
cyanorak:CK_00000545,molybdopterin biosynthesis protein MoeB,21,21,17,17,0,0.0
cyanorak:CK_00000544,cyanobacterial aminoacyl-tRNA synthetase domain (CAAD) containing protein,21,21,17,17,0,0.0
cyanorak:CK_00000543,putative fructosamine 3-kinase,21,21,17,17,0,0.0
cyanorak:CK_00000542,"C-3^,4^ desaturase",21,21,17,17,0,0.0
cyanorak:CK_00000541,Prephenate dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00000540,ATP-dependent helicase C-terminal domain-containing protein,21,21,17,17,0,0.0
