organism_name,locus_tag,gene_name,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,brite_leaf,sources,gene_category,in_brite,in_kegg,in_tcdb,in_annotation
Alteromonas macleodii HOT1A3,ACZ81_02255,tatB,Sec-independent protein translocase protein TatB,"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation",K03117,tatB; sec-independent protein translocase protein TatB,The Twin Arginine Targeting (Tat) Family,,kegg|tcdb|annotation,Intracellular trafficking,False,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02260,tatC,twin-arginine translocase subunit TatC,"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides",K03118,tatC; sec-independent protein translocase protein TatC,The Twin Arginine Targeting (Tat) Family,,kegg|tcdb|annotation,Intracellular trafficking,False,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02315,nhaA,Na+/H+ antiporter NhaA,Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons,K03313,"nhaA; Na+:H+ antiporter, NhaA family",2.A.33.1,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02410,mleN,Na+/H+ antiporter NhaC family protein,Na H antiporter,,,,,annotation,Energy production,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02420,,mechanosensitive ion channel family protein,Mechanosensitive ion channel,,,,,annotation,Cell wall and membrane,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02460,,TonB-dependent receptor,phosphate-selective porin O and P,,,,,annotation,Inorganic ion transport,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02465,,substrate-binding periplasmic protein,ABC transporter,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein,3.A.1.3,Putative polar amino acid transporter,brite|kegg|tcdb|annotation,Amino acid metabolism,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02475,,NRAMP family divalent metal transporter,COG1914 Mn2 and Fe2 transporters of the NRAMP family,,,,,annotation,Inorganic ion transport,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02490,dgdR,LysR family transcriptional regulator,Transcriptional regulator,,,,,annotation,Transcription,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02510,,YnfA family protein,UPF0060 membrane protein,K09771,TC.SMR3; small multidrug resistance family-3 protein,2.A.7.26,Electrochemical potential-driven transporters [TC:2],brite|tcdb,Unknown,True,False,True,False
Alteromonas macleodii HOT1A3,ACZ81_02675,,ZIP family metal transporter,divalent heavy-metal cations transporter,K07238,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",2.A.5.5,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02730,nlpD,peptidoglycan DD-metalloendopeptidase family protein,COG0739 Membrane proteins related to metalloendopeptidases,K06194,nlpD; lipoprotein NlpD,1.A.34.1.2,,tcdb,Cell cycle and division,False,False,True,False
