cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|up,up,days 60+89,cog.category:C,Energy production and conversion,22,223,22/327,1.1907955184377614,0.22064377509491923,0.8367933493422507,0.0773817801443912
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|up,up,days 60+89,cog.category:G,Carbohydrate transport and metabolism,17,169,17/327,1.214175850026238,0.2324425970395141,0.8367933493422507,0.0773817801443912
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|up,up,day 89,cog.category:I,Lipid transport and metabolism,11,133,11/290,1.12566761731916,0.38660297629804397,0.869856696670599,0.06055228872781198
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|up,up,day 89,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",6,67,6/290,1.2188368502316007,0.36962968111221717,0.869856696670599,0.06055228872781198
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",5,51,5/378,1.0237057786077395,0.5479484458209827,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:E,Amino acid transport and metabolism,19,270,19/378,0.7347932588673329,0.9474558197150087,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:H,Coenzyme transport and metabolism,13,146,13/378,0.9297492208451111,0.6534104272478886,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:K,Transcription,22,250,22/378,0.918878306878307,0.699669417838406,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:L,"Replication, recombination and repair",9,185,9/378,0.507979407979408,0.9946594341570696,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:M,Cell wall/membrane/envelope biogenesis,16,259,16/378,0.6450532164817878,0.9834874190414473,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:N,Cell motility,4,125,4/378,0.3341375661375661,0.998548770845867,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:O,"Post-translational modification, protein turnover, chaperones",8,155,8/378,0.538931558286397,0.985863475068003,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:T,Signal transduction mechanisms,15,290,15/378,0.5400930487137384,0.9984483895764913,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",12,123,12/378,1.0187120918828236,0.5188820608883095,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:V,Defense mechanisms,5,53,5/378,0.9850753718678247,0.5833063253607447,0.998548770845867,0.000630718582989901
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:C,Energy production and conversion,18,223,18/536,0.5943879258416438,0.9968075796011171,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",7,51,7/536,1.010718466491074,0.5502577705704258,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:E,Amino acid transport and metabolism,30,270,30/536,0.8182006633499171,0.9091190534666174,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:F,Nucleotide transport and metabolism,5,78,5/536,0.47203884424033676,0.9864420119031796,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:G,Carbohydrate transport and metabolism,12,169,12/536,0.5228737966969884,0.9976695691005361,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:H,Coenzyme transport and metabolism,9,146,9/536,0.45393324473522795,0.9988684125819322,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:I,Lipid transport and metabolism,19,133,19/536,1.0519722814498933,0.4436254773304989,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:J,"Translation, ribosomal structure and biogenesis",12,205,12/536,0.4310520567892246,0.9999177703786276,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:L,"Replication, recombination and repair",19,185,19/536,0.7562827753126261,0.9316402338260942,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:M,Cell wall/membrane/envelope biogenesis,36,259,36/536,1.023540598167464,0.4676065628269227,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:O,"Post-translational modification, protein turnover, chaperones",18,155,18/536,0.8551516610495908,0.800006644471442,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:P,Inorganic ion transport and metabolism,30,215,30/536,1.027507809788268,0.4664602151338821,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",16,123,16/536,0.9578934595316103,0.6155313094187624,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:V,Defense mechanisms,4,53,4/536,0.5557589411433399,0.942502881696597,0.9999177703786276,-3.5713339178325185e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:C,Energy production and conversion,18,223,18/334,0.9538680486560511,0.6224596944510511,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",3,51,3/334,0.6951391334977105,0.8190005513951124,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:E,Amino acid transport and metabolism,21,270,21/334,0.9191284098469727,0.6956687961485628,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:K,Transcription,15,250,15/334,0.7090419161676648,0.9465839128646047,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:L,"Replication, recombination and repair",12,185,12/334,0.7665318012623402,0.8721012838631685,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:M,Cell wall/membrane/envelope biogenesis,19,259,19/334,0.8669109657133609,0.7819334015596733,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:N,Cell motility,2,125,2/334,0.18907784431137728,0.9998292711535146,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:O,"Post-translational modification, protein turnover, chaperones",14,155,14/334,1.0673749275642264,0.4403057905291246,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",3,67,3/334,0.5291357583340781,0.9318550409337514,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:T,Signal transduction mechanisms,9,290,9/334,0.3667458187074128,0.9999618085991288,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",9,123,9/334,0.8646852636191034,0.7261663566208727,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:V,Defense mechanisms,4,53,4/334,0.8918766241102701,0.6679745343143486,0.9999618085991288,1.6586631389897488e-05
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:C,Energy production and conversion,21,223,21/528,0.703959437423563,0.9748527455919214,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",6,51,6/528,0.8794563279857398,0.6952398694679831,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:E,Amino acid transport and metabolism,29,270,29/528,0.8029110549943884,0.9241370523864616,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:F,Nucleotide transport and metabolism,4,78,4/528,0.3833527583527584,0.9953194941469401,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:G,Carbohydrate transport and metabolism,17,169,17/528,0.7519611798457951,0.9252578205655312,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:H,Coenzyme transport and metabolism,11,146,11/528,0.5632134703196346,0.9914553438343481,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:J,"Translation, ribosomal structure and biogenesis",10,205,10/528,0.3646526237989653,0.9999886207325384,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:L,"Replication, recombination and repair",19,185,19/528,0.7677416052416054,0.9205462700228233,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:O,"Post-translational modification, protein turnover, chaperones",19,155,19/528,0.9163367546432064,0.6978324623886305,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:V,Defense mechanisms,3,53,3/528,0.42313464837049747,0.9797897939937633,0.9999886207325384,-4.9419811848085054e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:C,Energy production and conversion,23,223,23/346,1.1765597864122967,0.2314757098143999,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",3,51,3/346,0.6710302618157089,0.8376358590476942,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:E,Amino acid transport and metabolism,17,270,17/346,0.7182509098694071,0.9503143146074873,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:G,Carbohydrate transport and metabolism,16,169,16/346,1.080001368129425,0.41132359655784895,0.9999913759328632,3.7454009193728108e-06
