locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_05020,flgF,flagellar basal body rod protein FlgF,days 60+89,-1.068317435745265,0.2108339477272872,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05250,flhA,flagellar biosynthesis protein FlhA,day 89,-1.0668706087628064,0.1157712213866685,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_02770,,methyl-accepting chemotaxis protein,day 18,-1.064759160557402,0.008383692060411,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_13410,,methyl-accepting chemotaxis protein,day 31,1.060265838071695,0.0694362798068238,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_03265,,methyl-accepting chemotaxis protein,day 60,-1.05667266205231,0.0135740043905633,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01420,cheY1,response regulator,day 18,-1.0504723711923336,0.0332190227895424,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05020,flgF,flagellar basal body rod protein FlgF,day 31,1.0433878161748062,0.2674058852887414,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05000,flgB,flagellar basal body rod protein FlgB,days 60+89,-1.0418165334776563,0.1833523742921918,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05165,fliE,flagellar hook-basal body complex protein FliE,day 60,1.039906969141838,0.3326351510227215,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_11165,,methyl-accepting chemotaxis protein,day 31,-1.0389234907841152,0.0019815045719532,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_16000,bdlA,methyl-accepting chemotaxis protein,day 89,-1.0305933087225818,0.0009248530405923,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_RS21445,bdlA,methyl-accepting chemotaxis protein,day 31,-1.0076378103648171,0.1671720947874291,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05045,flgK,flagellar hook-associated protein FlgK,day 60,-0.9995123370058168,0.0088256301195146,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05050,flgL,flagellar hook-associated protein FlgL,day 18,-0.9952554143193671,0.0037080614518437,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05160,fleR,sigma-54-dependent transcriptional regulator,day 18,0.9901746776335952,0.100832159585589,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01495,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,days 60+89,-0.9741984997723676,0.0141655611648031,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01490,cheD,chemoreceptor glutamine deamidase CheD,days 60+89,-0.9715999054366306,0.0042882501361865,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04970,,LPP20 family lipoprotein,day 31,0.9433472542328508,0.1172116314749596,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05205,fliM,flagellar motor switch protein FliM,days 60+89,-0.9432664194378586,0.0079175396455304,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01470,cheW,chemotaxis protein CheW,day 18,-0.9367542301982044,0.3481178016147758,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04970,,LPP20 family lipoprotein,days 60+89,-0.9347052673462484,0.1115893837587632,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01445,cheD,chemoreceptor glutamine deamidase CheD,day 18,-0.928145047725922,0.2174748166679057,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_02085,,flagellar basal body L-ring protein FlgH,day 89,0.915768982633271,0.5780781394848402,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_06325,,response regulator,day 18,-0.902751018025787,0.0063829927997106,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04990,cheV,chemotaxis protein CheV,day 18,-0.9017710583800664,0.0046660011561429,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_03265,,methyl-accepting chemotaxis protein,day 31,-0.8999864169288174,0.0394371078928529,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_RS21455,bdlA,hypothetical protein,days 60+89,-0.8893401783198026,0.1573489319318564,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04995,cheR,CheR family methyltransferase,day 60,-0.887419228254555,6.040235778858961e-10,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01490,cheD,chemoreceptor glutamine deamidase CheD,day 89,-0.8777020732331766,0.0370698568648196,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05280,cheA,chemotaxis protein CheA,day 60,-0.8736739683208518,0.0176524002392587,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
