locus_tag,gene_name,product,gene_category,log2fc,padj,expression_status,timepoint
EZ55_03008,,SIMPL domain-containing protein,Unknown,2.553483903,1.44e-19,significant_up,mid-exponential
EZ55_03278,,redoxin domain-containing protein,Post-translational modification,2.542472975,1.1699999999999998e-23,significant_up,mid-exponential
EZ55_02633,,HvfB family MNIO-type RiPP peptide maturase,Unknown,2.468891415,9.18e-13,significant_up,mid-exponential
EZ55_02586,,hypothetical protein,Unknown,-2.414202531,1.01e-05,significant_down,mid-exponential
EZ55_03068,,hypothetical protein,Unknown,-2.40160152,5.99e-13,significant_down,mid-exponential
EZ55_01777,,DUF3718 domain-containing protein,Unknown,-2.387912606,7.6e-07,significant_down,mid-exponential
EZ55_00871,ohrR,MarR family winged helix-turn-helix transcriptional regulator,Transcription,2.368971771,5.42e-23,significant_up,mid-exponential
EZ55_03399,,PspC domain-containing protein,Transcription,2.357016964,1.57e-20,significant_up,mid-exponential
EZ55_02642,xdp1,exosortase-dependent surface protein XDP1,Unknown,-2.318945584,1.82e-08,significant_down,mid-exponential
EZ55_03400,pspA,phage shock protein PspA,Transcription,2.288050401,3.76e-20,significant_up,mid-exponential
EZ55_03522,katB,catalase,Energy production,2.276991383,4.23e-09,significant_up,mid-exponential
EZ55_01060,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,2.273606063,1.61e-20,significant_up,mid-exponential
EZ55_00433,katA,catalase,Energy production,2.247046143,4.41e-10,significant_up,mid-exponential
EZ55_01769,,hypothetical protein,Unknown,-2.213511852,6.36e-09,significant_down,mid-exponential
EZ55_03006,,IS110 family RNA-guided transposase,Replication and repair,2.207182159,1.69e-82,significant_up,mid-exponential
EZ55_02414,,IS110 family RNA-guided transposase,Replication and repair,2.201039362,2.24e-24,significant_up,mid-exponential
EZ55_02389,,DUF1328 domain-containing protein,Unknown,2.185018307,2.06e-12,significant_up,mid-exponential
EZ55_03519,,S8 family serine peptidase,Post-translational modification,2.14372648,2.63e-07,significant_up,mid-exponential
EZ55_00109,,acyl-CoA dehydrogenase family protein,Lipid metabolism,2.142971229,6.86e-09,significant_up,mid-exponential
EZ55_02390,,hypothetical protein,Unknown,2.136662157,8.85e-11,significant_up,mid-exponential
EZ55_02787,,DUF2170 family protein,Unknown,2.128776539,1.22e-17,significant_up,mid-exponential
EZ55_02884,,hypothetical protein,Unknown,2.124657712,2.64e-10,significant_up,mid-exponential
EZ55_02788,yjfJ,PspA/IM30 family protein,Transcription,2.103433343,3.22e-14,significant_up,mid-exponential
EZ55_00873,pepN,M1 family metallopeptidase,Amino acid metabolism,2.079144679,8.01e-17,significant_up,mid-exponential
EZ55_00427,pilM,type IV pilus assembly protein PilM,Cell motility,-2.046489529,1.44e-13,significant_down,mid-exponential
EZ55_02712,pilV,PilV family protein,Cell motility,-2.03896263,1.7e-10,significant_down,mid-exponential
EZ55_02978,gcvT,glycine cleavage system aminomethyltransferase GcvT,Amino acid metabolism,-2.033866035,7.93e-13,significant_down,mid-exponential
EZ55_02501,gtfA,sucrose phosphorylase,Carbohydrate metabolism,2.025926396,4.85e-07,significant_up,mid-exponential
EZ55_01061,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,2.023929285,9.200000000000001e-28,significant_up,mid-exponential
EZ55_00268,mrr,DUF2034 domain-containing protein,Replication and repair,-1.981940689,3.59e-09,significant_down,mid-exponential
EZ55_01930,putP,sodium/proline symporter PutP,Amino acid metabolism,1.979352247,9.94e-15,significant_up,mid-exponential
EZ55_00798,,spondin domain-containing protein,Unknown,1.951911964,3.87e-06,significant_up,mid-exponential
EZ55_02568,,hypothetical protein,Unknown,1.950141121,4.9e-17,significant_up,mid-exponential
EZ55_03362,katG,catalase/peroxidase HPI,Inorganic ion transport,1.946141323,2.52e-12,significant_up,mid-exponential
EZ55_00549,,type II toxin-antitoxin system Phd/YefM family antitoxin,Cell cycle and division,1.923591598,4.98e-25,significant_up,mid-exponential
EZ55_03021,pilC,type II secretion system F family protein,Intracellular trafficking,-1.922366661,2.01e-12,significant_down,mid-exponential
EZ55_02404,gap,type I glyceraldehyde-3-phosphate dehydrogenase,Carbohydrate metabolism,1.920250823,3.44e-15,significant_up,mid-exponential
EZ55_00904,ybiT,ABC-F family ATPase,Unknown,-1.918406088,6.09e-07,significant_down,mid-exponential
EZ55_02922,,MFS transporter,Carbohydrate metabolism,-1.908590361,3.63e-06,significant_down,mid-exponential
EZ55_00020,yegP,YegP family protein,Unknown,1.905146602,1.29e-15,significant_up,mid-exponential
EZ55_00506,dps,Dps family protein,Inorganic ion transport,1.888371909,3.19e-15,significant_up,mid-exponential
EZ55_03800,,RNA polymerase sigma factor,Transcription,1.883422643,3.88e-36,significant_up,mid-exponential
EZ55_02169,yccA,Bax inhibitor-1/YccA family protein,Unknown,1.882410784,3.21e-28,significant_up,mid-exponential
EZ55_03015,pdhR,pyruvate dehydrogenase complex transcriptional repressor PdhR,Transcription,1.872488994,1.53e-22,significant_up,mid-exponential
EZ55_01910,,hypothetical protein,Unknown,1.869918516,3.05e-08,significant_up,mid-exponential
EZ55_00551,,ribbon-helix-helix domain-containing protein,Unknown,1.869449706,1.65e-21,significant_up,mid-exponential
EZ55_03177,,hypothetical protein,Unknown,-1.852818666,4.11e-10,significant_down,mid-exponential
EZ55_03798,,DUF4097 family beta strand repeat-containing protein,Unknown,1.8523701,1.72e-36,significant_up,mid-exponential
EZ55_03799,,hypothetical protein,Unknown,1.851037829,3.8000000000000005e-38,significant_up,mid-exponential
EZ55_01931,proB,glutamate 5-kinase,Amino acid metabolism,1.849398709,5.92e-12,significant_up,mid-exponential
EZ55_02567,,DUF3592 domain-containing protein,Unknown,1.836316944,2.57e-12,significant_up,mid-exponential
EZ55_04283,,alkane 1-monooxygenase,Lipid metabolism,-1.828603346,6.89e-09,significant_down,mid-exponential
EZ55_01353,yjjU,patatin-like phospholipase family protein,Unknown,1.827262735,1.99e-11,significant_up,mid-exponential
EZ55_03852,,ZrgA family zinc uptake protein,Inorganic ion transport,1.826195715,1.74e-09,significant_up,mid-exponential
EZ55_01928,,hypothetical protein,Unknown,1.823588028,1.13e-09,significant_up,mid-exponential
EZ55_01530,pth,aminoacyl-tRNA hydrolase,Translation,-1.815025997,2.12e-11,significant_down,mid-exponential
EZ55_04255,,alpha/beta fold hydrolase,Unknown,-1.815020429,5.38e-09,significant_down,mid-exponential
EZ55_01932,proA,glutamate-5-semialdehyde dehydrogenase,Amino acid metabolism,1.80574112,9.57e-10,significant_up,mid-exponential
EZ55_03389,,hypothetical protein,Unknown,1.804963389,2.42e-22,significant_up,mid-exponential
EZ55_03263,,HlyD family secretion protein,Defense mechanisms,1.802969568,1.77e-30,significant_up,mid-exponential
EZ55_02693,rpoE,RNA polymerase sigma factor RpoE,Transcription,1.780616574,4.69e-34,significant_up,mid-exponential
EZ55_02598,,hypothetical protein,Unknown,1.777193612,5.17e-06,significant_up,mid-exponential
EZ55_03762,scrK,carbohydrate kinase family protein,Carbohydrate metabolism,1.766722759,5.83e-08,significant_up,mid-exponential
EZ55_04314,,chromate resistance protein ChrB domain-containing protein,Inorganic ion transport,1.762893217,9.49e-24,significant_up,mid-exponential
EZ55_03401,,hypothetical protein,Unknown,1.75352919,1.06e-12,significant_up,mid-exponential
EZ55_02418,osmY,BON domain-containing protein,Unknown,1.749184885,2.28e-07,significant_up,mid-exponential
EZ55_00298,,HupE/UreJ family protein,Post-translational modification,1.74915336,4.73e-12,significant_up,mid-exponential
EZ55_02591,,EF-hand domain-containing protein,Unknown,1.736838196,1.94e-07,significant_up,mid-exponential
EZ55_02711,pilW,PilW family protein,Cell motility,-1.734699693,6.57e-10,significant_down,mid-exponential
EZ55_02565,,DUF3336 domain-containing protein,Unknown,1.73404299,2.34e-17,significant_up,mid-exponential
EZ55_02346,,DUF7218 family protein,Unknown,1.730560826,9.56e-13,significant_up,mid-exponential
EZ55_02983,chb,family 20 glycosylhydrolase,Carbohydrate metabolism,1.725505106,1.28e-10,significant_up,mid-exponential
EZ55_01134,pspB,envelope stress response membrane protein PspB,Unknown,1.724733439,6.15e-20,significant_up,mid-exponential
EZ55_04221,,hypothetical protein,Unknown,1.722862059,1.73e-25,significant_up,mid-exponential
EZ55_00301,czcC,TolC family protein,Cell wall and membrane,1.722701197,7.25e-16,significant_up,mid-exponential
EZ55_03195,rpfN,carbohydrate porin,Cell wall and membrane,1.718973179,6.49e-27,significant_up,mid-exponential
EZ55_02853,,hypothetical protein,Unknown,1.717588397,4.5e-11,significant_up,mid-exponential
EZ55_04083,,hypothetical protein,Lipid metabolism,1.71152985,4.11e-07,significant_up,mid-exponential
EZ55_03221,,hypothetical protein,Unknown,-1.70930749,5.83e-10,significant_down,mid-exponential
EZ55_00699,,DUF3016 domain-containing protein,Unknown,1.702141854,1.15e-16,significant_up,mid-exponential
EZ55_04250,benC,"benzoate 1,2-dioxygenase electron transfer component BenC",Energy production,-1.700220121,8e-09,significant_down,mid-exponential
EZ55_02855,suxA,TonB-dependent receptor,Cell wall and membrane,1.698705823,9.91e-05,significant_up,mid-exponential
EZ55_00318,aer2,methyl-accepting chemotaxis protein,Signal transduction,1.696859101,3.92e-10,significant_up,mid-exponential
EZ55_04341,,DUF305 domain-containing protein,Unknown,1.689392052,8.59e-10,significant_up,mid-exponential
EZ55_00876,ltrA,group II intron reverse transcriptase/maturase,Replication and repair,1.686458141,3.03e-26,significant_up,mid-exponential
EZ55_01133,pspA,phage shock protein PspA,Transcription,1.678665598,2.53e-18,significant_up,mid-exponential
EZ55_01791,,mechanosensitive ion channel family protein,Cell wall and membrane,1.672626476,1.69e-07,significant_up,mid-exponential
EZ55_02312,msrP,protein-methionine-sulfoxide reductase catalytic subunit MsrP,Energy production,1.669247963,1.13e-05,significant_up,mid-exponential
EZ55_02165,,DoxX family protein,Unknown,-1.665369536,0.003241749,significant_down,mid-exponential
EZ55_00532,,hypothetical protein,Unknown,-1.663178051,8.16e-09,significant_down,mid-exponential
EZ55_04282,xylC,benzaldehyde dehydrogenase,Energy production,-1.663093966,6.2e-08,significant_down,mid-exponential
EZ55_03376,,EF-hand domain-containing protein,Unknown,1.661296177,1.08e-05,significant_up,mid-exponential
EZ55_01395,,RimK family protein,Coenzyme metabolism,-1.654729962,1.66e-05,significant_down,mid-exponential
EZ55_01827,merA,FAD-dependent oxidoreductase,Energy production,1.649278202,4.13e-05,significant_up,mid-exponential
EZ55_01465,dps,DNA starvation/stationary phase protection protein Dps,Inorganic ion transport,1.643176815,8.1e-08,significant_up,mid-exponential
EZ55_04257,mhpF,acetaldehyde dehydrogenase (acetylating),Secondary metabolites,-1.63674229,2.43e-08,significant_down,mid-exponential
EZ55_00317,cheW,chemotaxis protein CheW,Cell motility,1.634846907,7.58e-10,significant_up,mid-exponential
EZ55_01947,ccdA,type II toxin-antitoxin system CcdA family antitoxin,Unknown,1.63207159,4.39e-35,significant_up,mid-exponential
EZ55_02313,msrQ,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,Energy production,1.628841887,2.93e-05,significant_up,mid-exponential
EZ55_03014,aceE,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",Energy production,1.627465956,8.17e-18,significant_up,mid-exponential
EZ55_04249,benB,aromatic-ring-hydroxylating dioxygenase subunit beta,Secondary metabolites,-1.627010498,3.95e-06,significant_down,mid-exponential
EZ55_00302,,M56 family metallopeptidase,Post-translational modification,1.624843369,7.310000000000001e-27,significant_up,mid-exponential
EZ55_02128,bfr,bacterioferritin,Inorganic ion transport,1.621349453,2.21e-17,significant_up,mid-exponential
EZ55_02632,,HvfC family RiPP maturation protein,Unknown,1.618293936,1.6e-06,significant_up,mid-exponential
EZ55_03953,hip,high-potential iron-sulfur protein,Energy production,1.611969345,2.87e-18,significant_up,mid-exponential
EZ55_02412,pyk,pyruvate kinase,Carbohydrate metabolism,1.611181938,3.51e-21,significant_up,mid-exponential
EZ55_04222,,hypothetical protein,Unknown,1.606518156,2.1499999999999998e-24,significant_up,mid-exponential
EZ55_00021,,lecithin retinol acyltransferase family protein,Unknown,1.604433127,1.01e-12,significant_up,mid-exponential
EZ55_01828,,DUF547 domain-containing protein,Unknown,1.594658727,5.74e-05,significant_up,mid-exponential
EZ55_02786,,DUF6471 domain-containing protein,Unknown,1.592834223,1.65e-17,significant_up,mid-exponential
EZ55_02397,gap,glyceraldehyde-3-phosphate dehydrogenase,Carbohydrate metabolism,-1.590990171,1.32e-10,significant_down,mid-exponential
EZ55_02854,,hypothetical protein,Unknown,1.585062884,3.22e-08,significant_up,mid-exponential
EZ55_00022,,hypothetical protein,Unknown,1.584813534,1.08e-16,significant_up,mid-exponential
EZ55_00709,,type 2 periplasmic-binding domain-containing protein,Inorganic ion transport,-1.566965885,1.17e-07,significant_down,mid-exponential
EZ55_01268,,DUF3379 family protein,Transcription,1.562706829,1.41e-06,significant_up,mid-exponential
EZ55_00896,hutU,urocanate hydratase,Amino acid metabolism,1.561414547,3.02e-10,significant_up,mid-exponential
EZ55_04254,xylG,2-hydroxymuconic semialdehyde dehydrogenase,Energy production,-1.557818695,6.72e-08,significant_down,mid-exponential
EZ55_03257,,hypothetical protein,Unknown,-1.556682619,3.33e-08,significant_down,mid-exponential
EZ55_03128,arsH,arsenical resistance protein ArsH,Unknown,1.552781284,3.58e-08,significant_up,mid-exponential
EZ55_04082,,DUF6482 family protein,Unknown,1.552231421,5.71e-11,significant_up,mid-exponential
EZ55_04217,,hypothetical protein,Unknown,1.55081653,1.18e-25,significant_up,mid-exponential
EZ55_00865,,RNA polymerase sigma factor,Transcription,1.548610942,2.8e-18,significant_up,mid-exponential
EZ55_03414,,DUF2884 family protein,Unknown,1.545911797,2.27e-14,significant_up,mid-exponential
EZ55_00528,,Rho-binding antiterminator,Transcription,1.535976575,1.01e-20,significant_up,mid-exponential
EZ55_00205,galK,galactokinase,Carbohydrate metabolism,1.535313223,5.58e-07,significant_up,mid-exponential
EZ55_00424,pilP,pilus assembly protein PilP,Cell motility,-1.531942756,9.97e-08,significant_down,mid-exponential
EZ55_01890,,HvfX family Cu-binding RiPP maturation protein,Unknown,1.529067588,4.06e-05,significant_up,mid-exponential
EZ55_02878,,BCCT family transporter,Cell wall and membrane,1.525262197,1.09e-11,significant_up,mid-exponential
EZ55_03359,rhlE,DEAD/DEAH box helicase,Translation,-1.521453952,9.91e-10,significant_down,mid-exponential
EZ55_02710,pilX,PilX N-terminal domain-containing pilus assembly protein,Cell motility,-1.519708107,5.36e-07,significant_down,mid-exponential
EZ55_03024,zapD,cell division protein ZapD,Cell cycle and division,1.518465701,4.39e-22,significant_up,mid-exponential
EZ55_01790,ecnAB,entericidin A/B family lipoprotein,Unknown,1.518093108,8.48e-07,significant_up,mid-exponential
EZ55_03020,ppdD,pilin,Cell motility,-1.517541472,3.83e-07,significant_down,mid-exponential
EZ55_04046,scoP,SCO family protein,Unknown,1.51657316,2.3e-26,significant_up,mid-exponential
EZ55_04258,dmpG,4-hydroxy-2-oxovalerate aldolase,Amino acid metabolism,-1.512285793,2.84e-07,significant_down,mid-exponential
EZ55_01269,sigV,sigma-70 family RNA polymerase sigma factor,Transcription,1.51121569,1.22e-07,significant_up,mid-exponential
EZ55_00425,pilO,type IV pilus inner membrane component PilO,Cell motility,-1.509926099,3.18e-08,significant_down,mid-exponential
EZ55_00303,,BlaI/MecI/CopY family transcriptional regulator,Transcription,1.509786269,2.5e-23,significant_up,mid-exponential
EZ55_02129,bfr,bacterioferritin,Inorganic ion transport,1.50602769,1.15e-14,significant_up,mid-exponential
EZ55_04256,dmpE,2-oxopent-4-enoate hydratase,Secondary metabolites,-1.505097134,5.05e-07,significant_down,mid-exponential
EZ55_00924,,DUF5681 domain-containing protein,Unknown,1.5038977,3.82e-18,significant_up,mid-exponential
EZ55_01068,,flagellin,Cell motility,-1.501678424,7.31e-11,significant_down,mid-exponential
EZ55_02692,rseA,sigma-E factor negative regulatory protein,Signal transduction,1.499717842,5.4e-23,significant_up,mid-exponential
EZ55_03127,,arsenate reductase ArsC,Signal transduction,1.498975706,6.36e-07,significant_up,mid-exponential
EZ55_02601,,hypothetical protein,Unknown,1.498485279,4.8600000000000004e-29,significant_up,mid-exponential
EZ55_01825,,hypothetical protein,Unknown,1.497335213,9.91e-08,significant_up,mid-exponential
EZ55_02976,gcvP,aminomethyl-transferring glycine dehydrogenase,Amino acid metabolism,-1.483787208,2.96e-07,significant_down,mid-exponential
EZ55_01691,mccA,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha,Lipid metabolism,1.481257837,4.78e-07,significant_up,mid-exponential
EZ55_02876,betB,betaine-aldehyde dehydrogenase,Energy production,1.479244624,1.3e-05,significant_up,mid-exponential
EZ55_03126,arsR,metalloregulator ArsR/SmtB family transcription factor,Transcription,1.472477349,1.83e-09,significant_up,mid-exponential
EZ55_04247,,phage integrase N-terminal SAM-like domain-containing protein,Replication and repair,1.471211977,2.92e-06,significant_up,mid-exponential
EZ55_03829,,glycoside hydrolase family 16 protein,Carbohydrate metabolism,-1.464139427,9.63e-08,significant_down,mid-exponential
EZ55_00906,,PA2779 family protein,Unknown,1.462373703,2.33e-06,significant_up,mid-exponential
EZ55_01135,pspC,envelope stress response membrane protein PspC,Transcription,1.460427959,1.71e-10,significant_up,mid-exponential
EZ55_02977,gcvH,glycine cleavage system protein GcvH,Amino acid metabolism,-1.458881429,5.21e-09,significant_down,mid-exponential
EZ55_01193,,hypothetical protein,Unknown,1.434439133,2.45e-25,significant_up,mid-exponential
EZ55_01665,,hypothetical protein,Unknown,1.423382721,1.91e-21,significant_up,mid-exponential
EZ55_02087,prc,carboxy terminal-processing peptidase,Cell wall and membrane,1.422836672,1.85e-22,significant_up,mid-exponential
EZ55_00279,,hypothetical protein,Unknown,1.419880982,1.2799999999999999e-28,significant_up,mid-exponential
EZ55_03098,ygaZ,AzlC family ABC transporter permease,Amino acid metabolism,1.411660756,6.17e-07,significant_up,mid-exponential
EZ55_02919,pfpI,type 1 glutamine amidotransferase domain-containing protein,Unknown,1.411352752,9.35e-05,significant_up,mid-exponential
EZ55_00599,rpoS,RNA polymerase sigma factor RpoS,Transcription,1.41063349,1.46e-09,significant_up,mid-exponential
EZ55_01692,liuC,enoyl-CoA hydratase/isomerase family protein,Lipid metabolism,1.410366884,5.35e-08,significant_up,mid-exponential
EZ55_00533,glyA,serine hydroxymethyltransferase,Amino acid metabolism,-1.406272025,7.22e-06,significant_down,mid-exponential
EZ55_00671,,hypothetical protein,Cell motility,1.405630187,3.72e-15,significant_up,mid-exponential
EZ55_01511,,hypothetical protein,Unknown,1.403658158,2.37e-19,significant_up,mid-exponential
EZ55_00323,,hypothetical protein,Unknown,-1.401812088,1.14e-08,significant_down,mid-exponential
EZ55_01162,,hypothetical protein,Unknown,1.39926111,6.95e-14,significant_up,mid-exponential
EZ55_00895,hutC,UTRA domain-containing protein,Transcription,1.398341439,1.26e-09,significant_up,mid-exponential
EZ55_02513,purF,amidophosphoribosyltransferase,Nucleotide metabolism,-1.396479394,3.45e-09,significant_down,mid-exponential
EZ55_04354,,hypothetical protein,Unknown,1.394133626,1.27e-15,significant_up,mid-exponential
EZ55_01829,ynjB,ABC transporter substrate-binding protein,Unknown,1.393584927,0.000223164,significant_up,mid-exponential
EZ55_04045,,GNAT family N-acetyltransferase,Transcription,1.393502437,2.72e-19,significant_up,mid-exponential
EZ55_02164,,DODA-type extradiol aromatic ring-opening family dioxygenase,Unknown,-1.391928503,0.000118124,significant_down,mid-exponential
EZ55_00550,,type II toxin-antitoxin system RelE family toxin,Cell cycle and division,1.388473253,3.27e-11,significant_up,mid-exponential
EZ55_00894,hutI,imidazolonepropionase,Secondary metabolites,1.38701201,1.07e-12,significant_up,mid-exponential
EZ55_02982,gspK,BadF/BadG/BcrA/BcrD ATPase family protein,Carbohydrate metabolism,1.386624623,2.16e-08,significant_up,mid-exponential
EZ55_04286,areB,NAD(P)-dependent alcohol dehydrogenase,Energy production,-1.384397463,7.52e-06,significant_down,mid-exponential
EZ55_00694,btuB,TonB-dependent receptor plug domain-containing protein,Coenzyme metabolism,1.3810818,4.89e-21,significant_up,mid-exponential
EZ55_03363,,porin family protein,Cell wall and membrane,1.379011087,0.000256793,significant_up,mid-exponential
EZ55_03769,lifO,lipase secretion chaperone,Post-translational modification,-1.374627546,3.46e-06,significant_down,mid-exponential
EZ55_00394,ltrA,group II intron reverse transcriptase/maturase,Replication and repair,-1.373881045,6.28e-12,significant_down,mid-exponential
EZ55_01397,,hypothetical protein,Unknown,1.373250557,6.34e-08,significant_up,mid-exponential
EZ55_00118,thiS,sulfur carrier protein ThiS,Coenzyme metabolism,1.372264434,1.62e-05,significant_up,mid-exponential
EZ55_02300,kipI,5-oxoprolinase subunit B family protein,Amino acid metabolism,1.368925718,3.53e-12,significant_up,mid-exponential
EZ55_00359,rplC,50S ribosomal protein L3,Translation,-1.367049688,2.31e-05,significant_down,mid-exponential
EZ55_03096,msrA,peptide-methionine (S)-S-oxide reductase MsrA,Post-translational modification,1.366571512,0.000167376,significant_up,mid-exponential
EZ55_03512,,S8 family peptidase,Post-translational modification,1.365305112,0.000414695,significant_up,mid-exponential
EZ55_03959,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,Nucleotide metabolism,-1.363049199,4.58e-09,significant_down,mid-exponential
EZ55_00426,pilN,PilN domain-containing protein,Cell motility,-1.362466466,1.19e-07,significant_down,mid-exponential
EZ55_04007,,hypothetical protein,Unknown,1.36145248,6.18e-15,significant_up,mid-exponential
EZ55_04285,,2Fe-2S iron-sulfur cluster-binding protein,Energy production,-1.357285655,3.77e-06,significant_down,mid-exponential
EZ55_02120,,MBL fold metallo-hydrolase,Inorganic ion transport,1.356780535,5.18e-16,significant_up,mid-exponential
EZ55_03013,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,Energy production,1.355789656,8.4e-10,significant_up,mid-exponential
EZ55_00297,,hypothetical protein,Unknown,1.354704483,6.31e-08,significant_up,mid-exponential
EZ55_01459,,DUF4097 family beta strand repeat-containing protein,Unknown,1.353080115,1.59e-12,significant_up,mid-exponential
EZ55_03933,,IS256 family transposase,Replication and repair,1.352367322,4.69e-51,significant_up,mid-exponential
EZ55_00299,czcA,efflux RND transporter permease subunit,Inorganic ion transport,1.34636375,2.2e-09,significant_up,mid-exponential
EZ55_02379,,hypothetical protein,Unknown,1.341166192,2.03e-09,significant_up,mid-exponential
EZ55_03859,,YgaP family membrane protein,Inorganic ion transport,1.339398378,4.72e-12,significant_up,mid-exponential
EZ55_00548,yoeB,Txe/YoeB family addiction module toxin,Unknown,1.338789222,2.06e-13,significant_up,mid-exponential
EZ55_03258,,hypothetical protein,Unknown,-1.338637709,2.97e-06,significant_down,mid-exponential
EZ55_04310,,DNA-binding protein,Cell cycle and division,1.337383923,3.51e-13,significant_up,mid-exponential
EZ55_02937,,peroxiredoxin-like family protein,Post-translational modification,1.33557515,5.62e-05,significant_up,mid-exponential
EZ55_01059,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,1.333591723,5.1e-18,significant_up,mid-exponential
EZ55_01444,,pyridoxamine 5^-phosphate oxidase family protein,Unknown,1.329343612,6.19e-06,significant_up,mid-exponential
EZ55_02702,fimT,GspH/FimT family pseudopilin,Cell motility,-1.328026047,2.13e-11,significant_down,mid-exponential
EZ55_04248,benA,"benzoate 1,2-dioxygenase large subunit",Inorganic ion transport,-1.327373981,5.19e-05,significant_down,mid-exponential
EZ55_01830,ynjC,ABC transporter permease,Inorganic ion transport,1.327333687,3.61e-06,significant_up,mid-exponential
EZ55_03611,,outer membrane beta-barrel protein,Cell wall and membrane,1.325365139,2.2e-08,significant_up,mid-exponential
EZ55_00385,,hypothetical protein,Unknown,1.322343755,6.62e-10,significant_up,mid-exponential
EZ55_04084,,DUF3014 domain-containing protein,Cell wall and membrane,1.320939481,1.82e-15,significant_up,mid-exponential
EZ55_01861,,hypothetical protein,Unknown,1.311549031,3.69e-14,significant_up,mid-exponential
EZ55_04253,xylE,"catechol 2,3-dioxygenase",Amino acid metabolism,-1.311358813,5.93e-07,significant_down,mid-exponential
EZ55_00879,,DUF3718 domain-containing protein,Unknown,1.310867918,3.33e-09,significant_up,mid-exponential
EZ55_01507,,TetR/AcrR family transcriptional regulator,Transcription,1.310310544,1.1999999999999998e-23,significant_up,mid-exponential
EZ55_00877,,redoxin domain-containing protein,Post-translational modification,1.30602796,1.49e-14,significant_up,mid-exponential
EZ55_02929,,marine proteobacterial sortase target protein,Unknown,1.297819008,0.000156069,significant_up,mid-exponential
EZ55_03037,,methyl-accepting chemotaxis protein,Cell motility,-1.293056438,0.000333998,significant_down,mid-exponential
EZ55_02383,,hypothetical protein,Unknown,1.292097493,2.72e-05,significant_up,mid-exponential
EZ55_02068,sdaA,L-serine ammonia-lyase,Amino acid metabolism,-1.29112358,8.68e-09,significant_down,mid-exponential
EZ55_01592,,diguanylate cyclase,Signal transduction,1.289044828,2.35e-13,significant_up,mid-exponential
EZ55_03218,typA,translational GTPase TypA,Signal transduction,-1.288493331,4.25e-07,significant_down,mid-exponential
EZ55_00897,hutH,histidine ammonia-lyase,Amino acid metabolism,1.286665316,2.06e-07,significant_up,mid-exponential
EZ55_00799,,response regulator transcription factor,Transcription,1.283115409,0.000594909,significant_up,mid-exponential
