reference_class,module_id,substrate,carrier_family,broad,n_systems,n_genes,module_percentile,p,q
candidate,candidate::unresolved::ACZ81_S0024,unresolved,APC,False,1,1,0.4760577653914365,0.5233476652334766,0.8024664200246642
candidate,candidate::resolved::nucleobase:cation,nucleobase:cation,NCS-nucleobase,True,3,3,0.603749683303775,0.7773222677732227,0.8905585631913
candidate,candidate::unresolved::ACZ81_S0050,unresolved,ABC-subunit,False,1,1,0.3802888269571827,0.6204379562043796,0.8905585631913
candidate,candidate::resolved::pedG ::,pedG ::,APC,False,1,1,0.3790220420572587,0.6214378562143785,0.8905585631913
candidate,candidate::resolved::hcaT :: MFS,hcaT :: MFS,phenylpropionate-hcaT,False,1,1,0.355966556878642,0.6455354464553544,0.8905585631913
candidate,candidate::unresolved::ACZ81_S0064,unresolved,APC,False,1,1,0.29769445148213836,0.7053294670532947,0.8905585631913
candidate,candidate::resolved::branched-chain amino acid,branched-chain amino acid,APC,False,1,1,0.27311882442361285,0.7274272572742726,0.8905585631913
candidate,candidate::resolved::solute carrier family 13 (sodium-dependent dicarboxylate,solute carrier family 13 (sodium-dependent dicarboxylate,gluconate/organic-acid,False,1,1,0.24499619964530023,0.7558244175582441,0.8905585631913
candidate,candidate::resolved::glycoside/pentoside/hexuronide:cation,glycoside/pentoside/hexuronide:cation,secondary-carrier-organic,False,1,1,0.21890043070686596,0.7795220477952205,0.8905585631913
candidate,candidate::resolved::long-chain fatty acid,long-chain fatty acid,fatty-acid,False,1,1,0.21712693184697238,0.7815218478152185,0.8905585631913
candidate,candidate::resolved::cation/acetate,cation/acetate,SSS,False,1,1,0.20775272358753483,0.791920807919208,0.8905585631913
candidate,candidate::resolved::glycerol,glycerol,glycerol/glp,False,1,1,0.1991385862680517,0.8001199880011999,0.8905585631913
candidate,candidate::resolved::AmpG family muropeptide MFS,AmpG family muropeptide MFS,secondary-carrier-organic,False,1,1,0.18545730934887256,0.8131186881311869,0.8905585631913
candidate,candidate::unresolved::ACZ81_S0001,unresolved,APC,False,1,2,0.26463136559412215,0.8616138386161384,0.9084091590840916
candidate,candidate::resolved::choline,choline,BCCT,False,1,1,0.13225234355206486,0.8689131086891311,0.9084091590840916
candidate,candidate::resolved::polar amino acid,polar amino acid,APC,True,6,6,0.6774765644793515,0.9036096390360964,0.9236898532368985
candidate,candidate::resolved::peptide/nickel,peptide/nickel,ABC-subunit,False,1,4,0.2128198631872308,0.9394060593940606,0.9394060593940606
control-TonB,control-TonB::resolved::TonB-dependent,TonB-dependent,other,True,12,12,1.0,0.0035996400359964,
ambiguous-TonB,ambiguous-TonB::resolved::iron complex outermembrane recepter protein,iron complex outermembrane recepter protein,other,True,14,14,0.9997466430200151,0.006199380061993801,
control-TonB,control-TonB::resolved::iron complex outermembrane recepter protein,iron complex outermembrane recepter protein,other,True,12,12,0.9946795034203192,0.061693830616938304,
ambiguous-TonB,ambiguous-TonB::resolved::TonB-dependent,TonB-dependent,enzyme;other,True,17,17,0.9906257917405624,0.14728527147285272,
control-ABC,control-ABC::resolved::solute:Na+,solute:Na+,SSS,True,3,3,0.9630098809222194,0.104989501049895,
ambiguous-TonB,ambiguous-TonB::resolved::energy transducer TonB,energy transducer TonB,other,False,1,1,0.8634405877881935,0.1376862313768623,
ambiguous-TonB,ambiguous-TonB::resolved::periplasmic protein TonB,periplasmic protein TonB,other,True,4,4,0.8350646060298961,0.5143485651434857,
control-ABC,control-ABC::resolved::NRAMP family divalent metal,NRAMP family divalent metal,secondary-carrier-inorganic,False,1,1,0.809982265011401,0.19308069193080693,
control-ABC,control-ABC::resolved::serine/threonine,serine/threonine,APC,False,1,1,0.7932607043324044,0.21147885211478853,
control-ABC,control-ABC::resolved::trk/ktr system potassium,trk/ktr system potassium,secondary-carrier-inorganic,True,2,2,0.7866734228527996,0.38766123387661233,
control-ABC,control-ABC::resolved::phosphate,phosphate,ABC-subunit,False,1,3,0.7651380795540917,0.14238576142385762,
control-ABC,control-ABC::resolved::neurotransmitter:Na+,neurotransmitter:Na+,SSS,True,2,2,0.7375221687357487,0.46145385461453853,
control-ABC,control-ABC::resolved::iron(III),iron(III),ABC-subunit,False,1,3,0.670382569039777,0.25807419258074193,
control-ABC,control-ABC::resolved::Nramp family divalent metal,Nramp family divalent metal,secondary-carrier-inorganic,False,1,1,0.6399797314416013,0.36536346365363465,
ambiguous-TonB,ambiguous-TonB::resolved::outer membrane,outer membrane,exporter,False,1,1,0.5900684063845959,0.41475852414758524,
control-ABC,control-ABC::resolved::iron complex,iron complex,ABC-subunit,True,3,4,0.5405371167975678,0.8318168183181682,
control-ABC,control-ABC::resolved::sodium,sodium,ABC-subunit,False,1,1,0.5077273878895363,0.49455054494550543,
control-ABC,control-ABC::resolved::PhnD/SsuA/transferrin family,PhnD/SsuA/transferrin family,ABC-subunit,False,1,1,0.43349379275399036,0.5669433056694331,
control-ABC,control-ABC::resolved::ynjB ::,ynjB ::,ABC-subunit,False,1,3,0.42057258677476567,0.6193380661933806,
control-ABC,control-ABC::resolved::nitrate/nitrite,nitrate/nitrite,ABC-subunit,False,1,3,0.41525209019508486,0.6259374062593741,
ambiguous-TonB,ambiguous-TonB::resolved::catecholate siderophore,catecholate siderophore,other,True,2,2,0.41373194831517607,0.8284171582841716,
control-ABC,control-ABC::resolved::molybdate,molybdate,ABC-subunit,False,1,3,0.40334431213579935,0.6432356764323568,
control-ABC,control-ABC::resolved::bile acid:Na+,bile acid:Na+,SSS,False,1,1,0.1955915885482645,0.8036196380361964,
ambiguous-TonB,ambiguous-TonB::resolved::hemoglobin/transferrin/lactoferrin,hemoglobin/transferrin/lactoferrin,other,False,1,1,0.16696224980998225,0.831016898310169,
control-TonB,control-TonB::resolved::outer-membrane,outer-membrane,other,False,1,1,0.09931593615404104,0.9035096490350965,
control-ABC,control-ABC::resolved::phosphonate,phosphonate,ABC-subunit,False,1,1,0.04535089941727895,0.953004699530047,
control-TonB,control-TonB::resolved::outer membrane,outer membrane,other,False,1,1,0.03217633645806942,0.9672032796720328,
