locus_tag,log2fc,expression_status,timepoint
ACZ81_14265,-3.890957043227254,significant_down,day 31
ACZ81_06500,-3.889316935425403,significant_down,day 31
ACZ81_10030,-3.8672357758315545,significant_down,days 60+89
ACZ81_17630,3.865770363564051,not_significant,day 89
ACZ81_16805,3.8587149321195895,significant_up,day 31
ACZ81_16390,-3.8564983862311593,significant_down,days 60+89
ACZ81_04265,-3.856099941039336,significant_down,day 89
ACZ81_05725,3.853069762463332,significant_up,day 89
ACZ81_16980,-3.848585867985277,not_significant,day 60
ACZ81_04270,-3.838286720663208,significant_down,days 60+89
ACZ81_16605,3.836849880629501,significant_up,day 60
ACZ81_16230,-3.833200941677783,significant_down,days 60+89
ACZ81_09445,-3.825674672056623,significant_down,day 18
ACZ81_10030,-3.824932551947304,significant_down,day 89
ACZ81_16800,3.8199783711551913,significant_up,day 89
ACZ81_RS20790,3.809589242825629,significant_up,day 89
ACZ81_07385,3.807544310130965,significant_up,days 60+89
ACZ81_02010,-3.807032939377898,significant_down,day 89
ACZ81_14025,-3.805139857568393,not_significant,day 89
ACZ81_05080,-3.8025735359426553,significant_down,days 60+89
ACZ81_11425,-3.798695892970628,significant_down,day 60
ACZ81_16385,-3.782698886895679,significant_down,day 60
ACZ81_01800,3.767942942884044,significant_up,day 31
ACZ81_06965,3.75153286073734,significant_up,day 31
ACZ81_16230,-3.751096536139636,significant_down,day 60
ACZ81_09620,-3.7508819598205982,significant_down,day 18
ACZ81_14270,-3.74957787239462,significant_down,day 31
ACZ81_16980,-3.735590554245149,not_significant,day 18
ACZ81_01915,-3.7307335517504745,significant_down,day 31
ACZ81_09815,3.725874994166511,significant_up,day 31
ACZ81_16980,-3.725582353926872,not_significant,day 31
ACZ81_05090,-3.725409919166194,significant_down,day 89
ACZ81_11250,-3.721390030671685,significant_down,day 89
ACZ81_05090,-3.711641826364065,significant_down,days 60+89
ACZ81_17215,3.7003290442773182,significant_up,day 31
ACZ81_05090,-3.698190657578292,significant_down,day 60
ACZ81_16850,3.6980426527245815,significant_up,day 60
ACZ81_12350,-3.696700088778354,significant_down,day 60
ACZ81_16805,3.688063354630685,significant_up,day 89
ACZ81_16590,3.6845034008794015,significant_up,day 31
ACZ81_01465,-3.683802431641933,significant_down,day 60
ACZ81_16255,-3.682831429395308,significant_down,day 89
ACZ81_03125,3.6827946450218287,significant_up,day 89
ACZ81_04265,-3.659554560168888,significant_down,days 60+89
ACZ81_19165,-3.655245817223258,significant_down,day 89
ACZ81_07890,-3.653955289585866,significant_down,day 89
ACZ81_04270,-3.650790319897504,significant_down,day 89
ACZ81_01830,3.6491532845729817,significant_up,day 60
ACZ81_03125,3.64874156080758,significant_up,days 60+89
ACZ81_11960,3.647975456205146,significant_up,day 89
ACZ81_11210,3.6405785611524544,significant_up,day 31
ACZ81_RS21360,-3.634169620864847,significant_down,day 89
ACZ81_05070,-3.6335498644179554,significant_down,day 31
ACZ81_16390,-3.627051170009461,significant_down,day 60
ACZ81_17215,3.611222262687364,significant_up,day 60
ACZ81_03125,3.610170006698448,significant_up,day 60
ACZ81_16385,-3.6088802813987466,significant_down,days 60+89
ACZ81_05070,-3.6069778823694607,significant_down,day 89
ACZ81_11960,3.597017592311208,significant_up,days 60+89
ACZ81_17405,-3.591766356937818,significant_down,day 89
ACZ81_16805,3.584817408504327,significant_up,days 60+89
ACZ81_11245,-3.583488797057796,significant_down,day 60
ACZ81_05065,-3.580682460862532,significant_down,day 89
ACZ81_01905,-3.580671404523017,significant_down,day 31
ACZ81_13190,3.558699684184241,significant_up,day 60
ACZ81_01915,-3.5568968600792727,significant_down,day 60
ACZ81_15425,3.556359126355365,significant_up,day 18
ACZ81_11245,-3.552314148682475,significant_down,days 60+89
ACZ81_04490,-3.5451349538764934,significant_down,days 60+89
ACZ81_11960,3.54242890902527,significant_up,day 60
ACZ81_05080,-3.5335390694929365,significant_down,day 89
ACZ81_04490,-3.5279118808437087,significant_down,day 31
ACZ81_19690,3.522647373499657,significant_up,day 60
ACZ81_11245,-3.5222944356469017,significant_down,day 89
ACZ81_19690,3.518469463259919,significant_up,days 60+89
ACZ81_18695,-3.5172966830118297,significant_down,day 89
ACZ81_19690,3.515225580259047,significant_up,day 89
ACZ81_08865,-3.512245378187796,significant_down,day 60
ACZ81_17400,-3.5062098012136467,significant_down,day 89
ACZ81_04270,-3.501164150779445,significant_down,day 31
ACZ81_07860,3.5009353329737443,significant_up,day 89
ACZ81_11205,3.49750622625857,significant_up,day 31
ACZ81_01460,-3.4974688659232025,significant_down,day 60
ACZ81_04265,-3.4959316221903345,significant_down,day 31
ACZ81_17625,3.491141796938201,not_significant,day 31
ACZ81_04265,-3.487432731246584,significant_down,day 18
ACZ81_04265,-3.4852610296017263,significant_down,day 60
ACZ81_16800,3.478374417443769,significant_up,day 31
ACZ81_17215,3.4748873616366898,significant_up,days 60+89
ACZ81_16805,3.4741318970218544,significant_up,day 60
ACZ81_07385,3.461517097774079,significant_up,day 89
ACZ81_02020,-3.460437395631664,significant_down,day 89
ACZ81_11895,-3.459111653365573,significant_down,day 18
ACZ81_07895,-3.458390267628502,significant_down,day 89
ACZ81_16385,-3.454077404484132,significant_down,day 89
ACZ81_10140,-3.4529043622328013,significant_down,day 60
ACZ81_18650,-3.4515030984127857,significant_down,day 31
ACZ81_13600,-3.450268192028522,significant_down,day 89
ACZ81_04270,-3.448714823023145,significant_down,day 18
ACZ81_02010,-3.447725848117664,significant_down,days 60+89
ACZ81_05350,-3.4374852919183376,significant_down,day 60
ACZ81_01455,-3.4266701727817006,significant_down,day 31
ACZ81_RS21295,3.42555069250769,significant_up,day 60
ACZ81_14655,3.419790007023242,significant_up,day 31
ACZ81_07890,-3.4132285841585266,significant_down,days 60+89
ACZ81_16155,3.405296062846392,not_significant,day 31
ACZ81_11895,-3.4033662156334907,significant_down,day 60
ACZ81_10350,-3.396623053693329,significant_down,day 89
ACZ81_14330,-3.3860747724526066,significant_down,day 89
ACZ81_07285,3.3807436267495463,significant_up,day 18
ACZ81_16800,3.378137524885204,significant_up,days 60+89
ACZ81_10355,-3.3751834641702385,significant_down,day 89
ACZ81_01830,3.371581962037241,significant_up,day 31
ACZ81_03385,3.368518282836034,significant_up,day 18
ACZ81_07560,3.365493349178452,not_significant,day 89
ACZ81_07895,-3.362043293316616,significant_down,days 60+89
ACZ81_09855,3.3609058428398675,significant_up,day 31
ACZ81_12900,3.3569076476309623,significant_up,day 89
ACZ81_04980,-3.3568717326505166,significant_down,day 31
ACZ81_07085,3.3568262944790725,significant_up,day 18
ACZ81_08845,-3.343548858625105,significant_down,day 31
ACZ81_13190,3.343005950947047,significant_up,day 18
ACZ81_11895,-3.341924967003875,significant_down,days 60+89
ACZ81_01830,3.340082628962784,significant_up,days 60+89
ACZ81_05085,-3.339073963675185,significant_down,day 89
ACZ81_01475,-3.3389784168272243,significant_down,day 60
ACZ81_04460,3.336952704291112,significant_up,day 18
ACZ81_11215,3.335564800268138,significant_up,day 31
ACZ81_12350,-3.3252637796205167,significant_down,days 60+89
ACZ81_17215,3.32430259663121,significant_up,day 89
ACZ81_05075,-3.320829495412013,significant_down,day 89
ACZ81_05085,-3.318795400762756,significant_down,days 60+89
ACZ81_01910,-3.3167636541813312,significant_down,day 31
ACZ81_09630,3.316316514242007,significant_up,day 60
ACZ81_07895,-3.3113449834186293,significant_down,day 31
ACZ81_14090,3.310250541808004,significant_up,day 89
ACZ81_11425,-3.304873768703148,significant_down,day 31
ACZ81_13200,3.303392955107756,not_significant,day 89
ACZ81_04275,-3.3028559136080493,significant_down,day 89
ACZ81_16575,3.302067664301003,significant_up,day 31
ACZ81_05790,3.299225151052149,significant_up,day 60
ACZ81_05085,-3.298675152733874,significant_down,day 60
ACZ81_06180,-3.2857350022562826,significant_down,day 89
ACZ81_05090,-3.283758711929928,significant_down,day 31
ACZ81_11895,-3.283265777870447,significant_down,day 89
ACZ81_01475,-3.282815279734933,significant_down,days 60+89
ACZ81_04975,-3.274485781675648,significant_down,day 18
ACZ81_07895,-3.2714365111505224,significant_down,day 60
ACZ81_01765,3.269460692254526,significant_up,day 31
ACZ81_03135,3.2639611321859108,significant_up,day 60
ACZ81_05355,-3.263454479123159,significant_down,day 60
ACZ81_17625,3.2557281884563345,not_significant,day 89
ACZ81_05350,-3.2536048822148653,significant_down,days 60+89
ACZ81_04495,-3.248924152686824,significant_down,day 89
ACZ81_07890,-3.2479052543223337,significant_down,day 31
ACZ81_10355,-3.24596245004234,significant_down,days 60+89
ACZ81_04490,-3.2394032157070334,significant_down,day 89
ACZ81_00135,-3.238836839923396,significant_down,day 18
ACZ81_RS21250,-3.233488300337674,not_significant,day 31
ACZ81_01905,-3.2328076375272907,significant_down,day 60
ACZ81_04495,-3.232620605431664,significant_down,days 60+89
ACZ81_06960,3.230527237183652,significant_up,day 31
ACZ81_08785,3.2304916721675525,significant_up,day 60
ACZ81_01475,-3.2294392582314737,significant_down,day 89
ACZ81_04495,-3.2277822981964404,significant_down,day 31
ACZ81_10940,3.2275607821723984,significant_up,day 89
ACZ81_01460,-3.2225549249498164,significant_down,day 31
ACZ81_11245,-3.222192767031528,significant_down,day 31
ACZ81_11895,-3.2213717913496347,significant_down,day 31
ACZ81_10350,-3.218927730191527,significant_down,days 60+89
