locus_tag,strain,route,product,value,og_group_id,og_level,og_product
EZ55_00366,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L16,1.0,eggnog:466H8@72275,Alteromonadaceae,50S ribosomal protein L16
EZ55_00820,Alteromonas macleodii EZ55,secreted,DegQ family serine endoprotease,1.0,eggnog:464ES@72275,Alteromonadaceae,DegQ family serine endoprotease
EZ55_00941,Alteromonas macleodii EZ55,secreted,Lcl C-terminal domain-containing protein,1.0,eggnog:465UE@72275,Alteromonadaceae,Lcl C-terminal domain-containing protein
EZ55_01008,Alteromonas macleodii EZ55,secreted,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",1.0,eggnog:464ZA@72275,Alteromonadaceae,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
EZ55_01022,Alteromonas macleodii EZ55,secreted,3-hydroxyacyl-ACP dehydratase FabZ,1.0,eggnog:466WK@72275,Alteromonadaceae,3-hydroxyacyl-ACP dehydratase FabZ
EZ55_01117,Alteromonas macleodii EZ55,secreted,alanine--tRNA ligase,1.0,eggnog:465GZ@72275,Alteromonadaceae,alanine--tRNA ligase
EZ55_01340,Alteromonas macleodii EZ55,secreted,peptidoglycan-associated lipoprotein Pal,1.0,eggnog:46793@72275,Alteromonadaceae,peptidoglycan-associated lipoprotein Pal
EZ55_01465,Alteromonas macleodii EZ55,secreted,DNA starvation/stationary phase protection protein Dps,1.0,eggnog:46761@72275,Alteromonadaceae,DNA starvation/stationary phase protection protein Dps
EZ55_01534,Alteromonas macleodii EZ55,secreted,ribose-phosphate pyrophosphokinase,1.0,eggnog:464JX@72275,Alteromonadaceae,ribose-phosphate pyrophosphokinase
EZ55_01550,Alteromonas macleodii EZ55,secreted,cyanase,1.0,eggnog:466EP@72275,Alteromonadaceae,cyanase
EZ55_02004,Alteromonas macleodii EZ55,secreted,ADP-forming succinate--CoA ligase subunit beta,1.0,eggnog:46480@72275,Alteromonadaceae,ADP-forming succinate--CoA ligase subunit beta
EZ55_02083,Alteromonas macleodii EZ55,secreted,SIMPL domain-containing protein,1.0,eggnog:46892@72275,Alteromonadaceae,SIMPL domain-containing protein
EZ55_03442,Alteromonas macleodii EZ55,secreted,lactoylglutathione lyase family protein,1.0,eggnog:465EY@72275,Alteromonadaceae,lactoylglutathione lyase family protein
EZ55_03483,Alteromonas macleodii EZ55,secreted,malate dehydrogenase,1.0,eggnog:463ZA@72275,Alteromonadaceae,malate dehydrogenase
EZ55_03582,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L30,1.0,eggnog:468BZ@72275,Alteromonadaceae,50S ribosomal protein L30
EZ55_03727,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L10,1.0,eggnog:469TE@72275,Alteromonadaceae,50S ribosomal protein L10
EZ55_03944,Alteromonas macleodii EZ55,secreted,type II 3-dehydroquinate dehydratase,1.0,eggnog:4671T@72275,Alteromonadaceae,type II 3-dehydroquinate dehydratase
EZ55_04111,Alteromonas macleodii EZ55,secreted,F0F1 ATP synthase subunit beta,1.0,eggnog:465I5@72275,Alteromonadaceae,F0F1 ATP synthase subunit beta
MIT1002_01157,Alteromonas macleodii MIT1002,vesicle,TonB-dependent receptor domain-containing protein,13.3,eggnog:4651V@72275,Alteromonadaceae,TonB-dependent receptor
MIT1002_03533,Alteromonas macleodii MIT1002,vesicle,elongation factor Tu,6.9,eggnog:4651Q@72275,Alteromonadaceae,elongation factor Tu
MIT1002_03495,Alteromonas macleodii MIT1002,vesicle,TonB-dependent receptor,5.7,eggnog:46A4N@72275,Alteromonadaceae,TonB-dependent receptor
MIT1002_01163,Alteromonas macleodii MIT1002,vesicle,DUF3450 domain-containing protein,2.1,eggnog:4643A@72275,Alteromonadaceae,DUF3450 domain-containing protein
MIT1002_03599,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L5,1.9,eggnog:464A7@72275,Alteromonadaceae,50S ribosomal protein L5
MIT1002_01164,Alteromonas macleodii MIT1002,vesicle,MotA/TolQ/ExbB proton channel family protein,1.8,eggnog:4641Y@72275,Alteromonadaceae,MotA/TolQ/ExbB proton channel family protein
MIT1002_03802,Alteromonas macleodii MIT1002,vesicle,OmpA family protein,1.7,eggnog:466H7@72275,Alteromonadaceae,OmpA family protein
MIT1002_00601,Alteromonas macleodii MIT1002,vesicle,esterase-like activity of phytase family protein,1.6,eggnog:1PGTX@1224,Proteobacteria,esterase-like activity of phytase family protein
MIT1002_04113,Alteromonas macleodii MIT1002,vesicle,F0F1 ATP synthase subunit beta,1.5,eggnog:465I5@72275,Alteromonadaceae,F0F1 ATP synthase subunit beta
MIT1002_01950,Alteromonas macleodii MIT1002,vesicle,ADP-forming succinate--CoA ligase subunit beta,1.4,eggnog:46480@72275,Alteromonadaceae,ADP-forming succinate--CoA ligase subunit beta
MIT1002_00390,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S3,1.1,eggnog:46670@72275,Alteromonadaceae,30S ribosomal protein S3
MIT1002_01524,Alteromonas macleodii MIT1002,vesicle,elongation factor G,1.1,eggnog:464WS@72275,Alteromonadaceae,elongation factor G
