og_group_id,og_product,substrate,best_tier,n_strains,strains,n_genes,captured_in_extruded
eggnog:465R4@72275,glycoside hydrolase family 9 protein,carbohydrate,A: degradative + exported,4,ATCC27126;BGP6;BS11;EZ55,4,False
eggnog:4665C@72275,sialate O-acetylesterase,carbohydrate,A: degradative + exported,4,ATCC27126;BGP6;BS11;EZ55,4,False
eggnog:469U6@72275,glycoside hydrolase family 11 protein,carbohydrate,A: degradative + exported,4,ATCC27126;BGP6;BS11;EZ55,4,False
eggnog:1MZDA@1224,GDP-mannose mannosyl hydrolase,carbohydrate,"B: degradative, export uncertain",2,ATCC27126;HOT1A3,2,False
eggnog:1P1W9@1224,uracil-DNA glycosylase family protein,carbohydrate,"B: degradative, export uncertain",2,AD45;BGP6,2,False
eggnog:464XA@72275,DNA-3-methyladenine glycosylase 2 family protein,carbohydrate,"B: degradative, export uncertain",2,BGP6;EZ55,2,False
eggnog:467J0@72275,sucrose phosphorylase,carbohydrate,A: degradative + exported,2,BS11;MIT1002,2,False
eggnog:46CP9@72275,alpha-amylase family glycosyl hydrolase,carbohydrate,A: degradative + exported,2,BGP6;EZ55,2,False
eggnog:COG3209@2,RHS repeat-associated core domain-containing protein,carbohydrate,A: degradative + exported,2,ATCC27126;HOT1A3,2,False
eggnog:1MW6P@1224,endo-beta-N-acetylglucosaminidase,carbohydrate,A: degradative + exported,1,AD45,1,False
eggnog:1MW8T@1224,TIGR03915 family putative DNA repair protein,carbohydrate,"B: degradative, export uncertain",1,BS11,1,False
eggnog:1MXCY@1224,GH92 family glycosyl hydrolase,carbohydrate,A: degradative + exported,1,AD45,3,False
eggnog:1N86N@1224,GH92 family glycosyl hydrolase,carbohydrate,A: degradative + exported,1,AD45,1,False
eggnog:1RGQH@1224,hypothetical protein,carbohydrate,"B: degradative, export uncertain",1,BS11,1,False
eggnog:464CN@72275,glycogen debranching protein GlgX,carbohydrate,"B: degradative, export uncertain",1,BS11,1,False
eggnog:465DG@72275,alpha-amylase family glycosyl hydrolase,carbohydrate,A: degradative + exported,1,BS11,1,False
eggnog:465PT@72275,glycoside hydrolase family 2,carbohydrate,A: degradative + exported,1,BS11,1,False
eggnog:465S2@72275,glucoamylase family protein,carbohydrate,"B: degradative, export uncertain",1,BS11,1,False
eggnog:469DT@72275,hypothetical protein,carbohydrate,"B: degradative, export uncertain",1,HOT1A3,1,False
eggnog:469Q3@72275,ADP-ribosylglycohydrolase family protein,carbohydrate,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:COG3291@2,beta strand repeat-containing protein,carbohydrate,A: degradative + exported,1,EZ55,1,False
eggnog:COG3866@2,pectate lyase family protein,carbohydrate,A: degradative + exported,1,BS11,1,False
eggnog:46528@72275,S-formylglutathione hydrolase,carbohydrate (ester),A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
